Entity,Code,Year,Period life expectancy at birth,GDP per capita,Population (historical estimates),Continent
Moldova,MDA,2020,70.1665,6560.7476,3084848.0,Europe
Mongolia,MNG,2020,72.141,12990.328,3294340.0,Asia
Montenegro,MNE,2020,76.2575,17355.623,629058.0,Europe
Morocco,MAR,2020,73.9199,7849.208,36688768.0,Africa
Mozambique,MOZ,2020,61.1722,1076.6941,31178242.0,Africa
Myanmar,MMR,2020,66.797,6282.8115,53423200.0,Asia
Namibia,NAM,2020,62.829,7734.6055,2489099.0,Africa
Nepal,NPL,2020,69.2456,2832.8608,29348626.0,Asia
Netherlands,NLD,2020,81.6381,46014.484,17434562.0,Europe
New Zealand,NZL,2020,82.7419,35853.69,5061130.0,Oceania
Nicaragua,NIC,2020,71.7954,4575.1865,6755900.0,North America
Niger,NER,2020,61.4506,962.7823,24333644.0,Africa
Nigeria,NGA,2020,52.887,4976.3223,208327408.0,Africa
North Korea,PRK,2020,73.2741,1584.3771,25867474.0,Asia
North Macedonia,MKD,2020,75.1677,13125.83,2111078.0,Europe
Norway,NOR,2020,83.1951,83543.1,5379836.0,Europe
Oman,OMN,2020,74.7571,46133.21,4543406.0,Asia
Pakistan,PAK,2020,66.2695,5242.6953,227196736.0,Asia
Palestine,PSE,2020,74.4035,4490.755,5019407.0,Asia
Panama,PAN,2020,76.657,18840.738,4294391.0,North America
Paraguay,PRY,2020,73.1816,8603.079,6618700.0,South America
Peru,PER,2020,73.6655,11136.991,33304768.0,South America
Philippines,PHL,2020,72.1191,7624.4136,112190984.0,Asia
Poland,POL,2020,76.9424,28577.14,38428368.0,Europe
Portugal,PRT,2020,81.0545,25700.283,10298186.0,Europe
Puerto Rico,PRI,2020,78.0406,33787.4,3271570.0,North America
Qatar,QAT,2020,79.0987,143118.53,2760390.0,Asia
Romania,ROU,2020,75.3456,24799.71,19442040.0,Europe
Russia,RUS,2020,71.3423,24625.385,145617328.0,Europe
Rwanda,RWA,2020,66.7741,1935.2662,13146367.0,Africa
Saint Lucia,LCA,2020,73.416,8164.9062,179245.0,North America
Sao Tome and Principe,STP,2020,67.7848,3826.3755,218650.0,Africa
Saudi Arabia,SAU,2020,76.2392,46723.93,35997108.0,Asia
Senegal,SEN,2020,68.0064,2524.2656,16436120.0,Africa
Serbia,SRB,2020,75.4057,15256.421,7358010.0,Europe
Seychelles,SYC,2020,73.5324,29647.482,105545.0,Africa
Sierra Leone,SLE,2020,59.7632,1635.713,8233973.0,Africa
Singapore,SGP,2020,82.861,71964.7,5909874.0,Asia
Slovakia,SVK,2020,77.0054,26468.295,5456681.0,Europe
Slovenia,SVN,2020,80.4409,28733.303,2117648.0,Europe
South Africa,ZAF,2020,65.2522,10839.133,58801928.0,Africa
South Korea,KOR,2020,83.6089,38606.984,51844688.0,Asia
Spain,ESP,2020,82.2892,30834.514,47363808.0,Europe
Sri Lanka,LKA,2020,76.3929,11447.249,21715076.0,Asia
Sudan,SDN,2020,65.6136,2586.8955,44440484.0,Africa
Sweden,SWE,2020,82.4274,44128.332,10368968.0,Europe
Switzerland,CHE,2020,83.067,60521.26,8638609.0,Europe
Syria,SYR,2020,72.1399,2903.7397,20772602.0,Asia
Taiwan,TWN,2020,80.8924,48779.438,23821468.0,Asia
Tajikistan,TJK,2020,67.9942,4828.3936,9543211.0,Asia
Tanzania,TZA,2020,66.4077,2948.4724,61704520.0,Africa
Thailand,THA,2020,79.2739,15815.915,71475664.0,Asia
Togo,TGO,2020,61.035,1482.7515,8442583.0,Africa
Trinidad and Tobago,TTO,2020,74.4056,25548.51,1518142.0,North America
Tunisia,TUN,2020,75.2923,10354.239,12161720.0,Africa
Turkey,TUR,2020,75.85,23721.88,84135432.0,Asia
Turkmenistan,TKM,2020,68.687,16580.84,6250442.0,Asia
Uganda,UGA,2020,62.8513,2032.2618,44404608.0,Africa
Ukraine,UKR,2020,72.5726,9769.828,43909664.0,Europe
United Arab Emirates,ARE,2020,78.9457,70188.27,9287286.0,Asia
United Kingdom,GBR,2020,80.4345,34651.184,67059472.0,Europe
United States,USA,2020,77.4144,54379.207,335942016.0,North America
Uruguay,URY,2020,78.4298,18460.04,3429087.0,South America
Uzbekistan,UZB,2020,70.3309,11341.919,33526662.0,Asia
Venezuela,VEN,2020,71.0949,4952.53,28490458.0,South America
Vietnam,VNM,2020,75.3779,7395.3613,96648680.0,Asia
Yemen,YEM,2020,64.6501,2031.4436,32284044.0,Asia
Zambia,ZMB,2020,62.3803,3270.599,18927716.0,Africa
Zimbabwe,ZWE,2020,61.1242,1585.9728,15669663.0,Africa
