Entity,Code,Year,Population,Birth rate,Period life expectancy at birth,Continent
Niger,NER,2020,24333644,45.588,61.4506,Africa
Nigeria,NGA,2020,208327408,37.467,52.887,Africa
North Korea,PRK,2020,25867474,13.333,73.2741,Asia
North Macedonia,MKD,2020,2111078,9.613,75.1677,Europe
Norway,NOR,2020,5379836,9.972,83.1951,Europe
Oman,OMN,2020,4543406,18.791,74.7571,Asia
Pakistan,PAK,2020,227196736,27.967,66.2695,Asia
Palestine,PSE,2020,5019407,28.8,74.4035,Asia
Panama,PAN,2020,4294391,17.919,76.657,North America
Paraguay,PRY,2020,6618700,20.946,73.1816,South America
Peru,PER,2020,33304768,17.833,73.6655,South America
Philippines,PHL,2020,112190984,22.039,72.1191,Asia
Poland,POL,2020,38428368,9.705,76.9424,Europe
Portugal,PRT,2020,10298186,8.07,81.0545,Europe
Puerto Rico,PRI,2020,3271570,8.179,78.0406,North America
Qatar,QAT,2020,2760390,10.895,79.0987,Asia
Romania,ROU,2020,19442040,10.238,75.3456,Europe
Russia,RUS,2020,145617328,9.884,71.3423,Europe
Rwanda,RWA,2020,13146367,30.309,66.7741,Africa
Saint Lucia,LCA,2020,179245,11.667,73.416,North America
Sao Tome and Principe,STP,2020,218650,28.435,67.7848,Africa
Saudi Arabia,SAU,2020,35997108,18.238,76.2392,Asia
Senegal,SEN,2020,16436120,33.034,68.0064,Africa
Serbia,SRB,2020,7358010,9.318,75.4057,Europe
Seychelles,SYC,2020,105545,15.823,73.5324,Africa
Sierra Leone,SLE,2020,8233973,31.914,59.7632,Africa
Singapore,SGP,2020,5909874,7.019,82.861,Asia
Slovakia,SVK,2020,5456681,10.216,77.0054,Europe
Slovenia,SVN,2020,2117648,9.05,80.4409,Europe
South Africa,ZAF,2020,58801928,20.326,65.2522,Africa
South Korea,KOR,2020,51844688,5.676,83.6089,Asia
Spain,ESP,2020,47363808,7.449,82.2892,Europe
Sri Lanka,LKA,2020,21715076,14.235,76.3929,Asia
Sudan,SDN,2020,44440484,34.226,65.6136,Africa
Sweden,SWE,2020,10368968,10.88,82.4274,Europe
Switzerland,CHE,2020,8638609,10.051,83.067,Europe
Syria,SYR,2020,20772602,19.67,72.1399,Asia
Taiwan,TWN,2020,23821468,7.85,80.8924,Asia
Tajikistan,TJK,2020,9543211,27.53,67.9942,Asia
Tanzania,TZA,2020,61704520,36.651,66.4077,Africa
Thailand,THA,2020,71475664,9.182,79.2739,Asia
Togo,TGO,2020,8442583,32.302,61.035,Africa
Trinidad and Tobago,TTO,2020,1518142,11.946,74.4056,North America
Tunisia,TUN,2020,12161720,16.628,75.2923,Africa
Turkey,TUR,2020,84135432,15.033,75.85,Asia
Turkmenistan,TKM,2020,6250442,22.294,68.687,Asia
Uganda,UGA,2020,44404608,37.252,62.8513,Africa
Ukraine,UKR,2020,43909664,7.72,72.5726,Europe
United Arab Emirates,ARE,2020,9287286,10.62,78.9457,Asia
United Kingdom,GBR,2020,67059472,10.136,80.4345,Europe
United States,USA,2020,335942016,10.939,77.4144,North America
Uruguay,URY,2020,3429087,10.339,78.4298,South America
Uzbekistan,UZB,2020,33526662,24.795,70.3309,Asia
Venezuela,VEN,2020,28490458,16.213,71.0949,South America
Vietnam,VNM,2020,96648680,15.4,75.3779,Asia
Yemen,YEM,2020,32284044,31.252,64.6501,Asia
Zambia,ZMB,2020,18927716,34.953,62.3803,Africa
Zimbabwe,ZWE,2020,15669663,31.009,61.1242,Africa
